task_id,sampling,checkpoint,test_overall_pearson,gretz_pearson,gretz_spearman,swanson_pearson,swanson_spearman,toledo_pearson,toledo_spearman,ukp_pearson,ukp_spearman,webis_pearson,webis_spearman,test_loss
STLAS_LOO_gretz,balanced,experiments/version_17-03-2022--07-46-37/checkpoints,0.4159,0.1159,0.0881,0.6328,0.5429,-0.0365,-0.1023,0.4221,0.2864,0.6133,0.5751,0.0566
STLAS_LOO_swanson_topic,balanced,experiments/version_17-03-2022--07-59-19/checkpoints,0.6027,0.2819,0.2817,0.3933,0.5609,0.2668,0.2414,0.3699,0.2473,0.8074,0.8362,0.0417
STLAS_LOO_gretz_topic,balanced,experiments/version_17-03-2022--08-31-12/checkpoints,0.5219,0.2675,0.2517,0.5122,0.431,0.2999,0.306,0.2909,0.2088,0.7587,0.8143,0.0597
MTLAS_LOO_swanson,balanced,experiments/version_17-03-2022--08-34-36/checkpoints,0.7113,0.4218,0.4131,0.4171,0.4837,0.6011,0.3998,0.7328,0.8209,0.0302,,
MTLAS_LOO_swanson,balanced,experiments/version_17-03-2022--09-09-13/checkpoints,0.6795,0.3464,0.3479,0.5424,0.5544,0.5493,0.3975,0.7304,0.7963,0.0289,,
STLAS_LOO_gretz_topic,balanced,experiments/version_17-03-2022--09-07-12/checkpoints,0.3909,0.2646,0.2587,0.5654,0.4881,0.5601,0.5558,0.3236,0.3051,0.7438,0.8152,0.1031
MTLAS_LOO_swanson,balanced,experiments/version_17-03-2022--09-42-18/checkpoints,0.7306,0.4374,0.4125,0.3889,0.3813,0.6433,0.4542,0.7925,0.8306,0.027,,
STLAS_LOO_gretz_topic,balanced,experiments/version_17-03-2022--10-04-39/checkpoints,0.4962,0.2417,0.2653,0.5517,0.4293,0.2922,0.2479,0.3191,0.2987,0.8219,0.8557,0.0686
MTLAS_LOO_swanson_topic,balanced,experiments/version_17-03-2022--10-33-38/checkpoints,0.7075,0.3967,0.4227,0.4368,0.5002,0.5877,0.3425,0.7516,0.8215,0.0309,,
MTLAS_LOO_gretz,balanced,experiments/version_17-03-2022--10-47-43/checkpoints,0.7654,0.538,0.5025,0.4067,0.4506,0.5676,0.3533,0.7391,0.8113,0.0312,,
MTLAS_LOO_swanson_topic,balanced,experiments/version_17-03-2022--11-08-57/checkpoints,0.6782,0.3561,0.3465,0.5245,0.5266,0.5023,0.2878,0.7492,0.815,0.0288,,
MTLAS_LOO_gretz,balanced,experiments/version_17-03-2022--11-18-37/checkpoints,0.8017,0.5881,0.5661,0.4829,0.4846,0.5897,0.4414,0.7541,0.8,0.0267,,
MTLAS_LOO_swanson_topic,balanced,experiments/version_17-03-2022--11-40-20/checkpoints,0.7143,0.3867,0.3809,0.3311,0.3294,0.575,0.3745,0.821,0.8551,0.0285,,
MTLAS_LOO_gretz,balanced,experiments/version_17-03-2022--12-01-23/checkpoints,0.7756,0.5666,0.4374,0.4113,0.414,0.5595,0.3992,0.7965,0.8295,0.0283,,
STLAS_LOO_ukp,balanced,experiments/version_17-03-2022--12-11-28/checkpoints,0.3645,0.2991,0.2378,0.3859,0.318,0.2423,0.2599,0.4312,0.3488,0.5879,0.6835,0.0636
MTLAS_LOO_gretz_topic,balanced,experiments/version_17-03-2022--12-39-15/checkpoints,0.7784,0.5731,0.527,0.4277,0.49,0.6403,0.341,0.7647,0.8363,0.0297,,
STLAS_LOO_ukp,balanced,experiments/version_17-03-2022--12-52-07/checkpoints,0.3214,0.2459,0.2362,0.5122,0.4771,0.3039,0.2528,0.427,0.4156,0.5483,0.5903,0.0641
MTLAS_LOO_gretz_topic,balanced,experiments/version_17-03-2022--13-17-30/checkpoints,0.809,0.619,0.6147,0.481,0.4568,0.5899,0.3474,0.7743,0.8203,0.026,,
STLAS_LOO_ukp,balanced,experiments/version_17-03-2022--13-31-29/checkpoints,0.3789,0.3176,0.2698,0.5456,0.439,0.3097,0.3002,0.5589,0.4307,0.6183,0.6418,0.0578
MTLAS_LOO_gretz_topic,balanced,experiments/version_17-03-2022--14-00-54/checkpoints,0.7819,0.5515,0.408,0.3355,0.3301,0.5268,0.3088,0.8171,0.8511,0.0275,,
STLAS_LOO_ukp_topic,balanced,experiments/version_17-03-2022--14-02-06/checkpoints,0.4395,0.3729,0.4213,0.4881,0.4105,0.5043,0.563,0.4852,0.5492,0.7675,0.8396,0.0621
STLAS_LOO_ukp_topic,balanced,experiments/version_17-03-2022--14-37-16/checkpoints,0.3787,0.3011,0.2948,0.5604,0.5271,0.6097,0.607,0.5043,0.5797,0.7682,0.8319,0.0569
STLAS_LOO_ukp_topic,balanced,experiments/version_17-03-2022--15-17-28/checkpoints,0.4524,0.2996,0.3145,0.5099,0.4352,0.3641,0.3388,0.5513,0.5387,0.8245,0.8505,0.0516
MTLAS_LOO_ukp,balanced,experiments/version_17-03-2022--15-44-26/checkpoints,0.6613,0.399,0.3784,0.5175,0.4726,0.3405,0.4402,0.7342,0.807,0.0394,,
MTLAS_LOO_ukp,balanced,experiments/version_17-03-2022--16-13-40/checkpoints,0.6691,0.3718,0.3613,0.6106,0.5643,0.5138,0.5245,0.7155,0.8,0.0324,,
MTLAS_LOO_ukp,balanced,experiments/version_17-03-2022--16-53-11/checkpoints,0.673,0.4218,0.4225,0.5787,0.4573,0.3691,0.3757,0.8083,0.8321,0.034,,
MTLAS_LOO_ukp_topic,balanced,experiments/version_17-03-2022--17-36-11/checkpoints,0.6619,0.3649,0.3729,0.5392,0.4754,0.4077,0.4939,0.7463,0.8117,0.0398,,
MTLAS_LOO_ukp_topic,balanced,experiments/version_17-03-2022--18-09-14/checkpoints,0.6665,0.3442,0.3403,0.6418,0.6575,0.5,0.4749,0.7377,0.8057,0.0331,,
MTLAS_LOO_ukp_topic,balanced,experiments/version_17-03-2022--18-49-15/checkpoints,0.6605,0.3653,0.363,0.5554,0.4129,0.3246,0.3008,0.8224,0.8526,0.0344,,
STLAS_only_ukp,balanced,experiments/version_20-03-2022--17-33-10/checkpoints,0.2804,0.2287,0.1751,0.4221,0.4174,-0.1344,-0.0811,0.5213,0.3582,0.6103,0.5536,0.1014
STLAS_only_ukp,balanced,experiments/version_20-03-2022--17-45-13/checkpoints,0.161,0.0597,0.0563,0.4136,0.4473,0.0054,0.1216,0.4098,0.3558,0.4481,0.4405,0.0839
STLAS_only_ukp,balanced,experiments/version_20-03-2022--18-22-16/checkpoints,0.2804,0.2287,0.1751,0.4221,0.4174,-0.1344,-0.0811,0.5213,0.3582,0.6103,0.5536,0.1014
STLAS_only_ukp,balanced,experiments/version_20-03-2022--18-29-28/checkpoints,0.161,0.0597,0.0563,0.4136,0.4473,0.0054,0.1216,0.4098,0.3558,0.4481,0.4405,0.0839
STLAS_LOO_webis,balanced,experiments/version_20-03-2022--18-23-36/checkpoints,0.3311,0.1134,0.1105,0.5928,0.5583,0.1877,0.1838,0.4779,0.3201,0.6468,0.6608,0.061
STLAS_only_ukp,balanced,experiments/version_20-03-2022--18-34-55/checkpoints,0.1567,0.1063,0.0768,0.2704,0.2048,-0.0004,-0.0768,0.4012,0.3424,0.5324,0.4682,0.0951
STLAS_only_ukp_topic,balanced,experiments/version_20-03-2022--18-40-37/checkpoints,0.2482,0.1019,0.0833,0.3863,0.369,-0.1571,-0.1083,0.4242,0.2665,0.5977,0.589,0.0991
STLAS_only_ukp_topic,balanced,experiments/version_20-03-2022--18-47-49/checkpoints,0.1582,0.1454,0.1226,0.4146,0.4233,0.0305,0.0281,0.3772,0.1591,0.3766,0.4319,0.0715
STLAS_only_ukp_topic,balanced,experiments/version_20-03-2022--18-54-32/checkpoints,0.0773,0.0628,0.0643,0.3096,0.2061,-0.2069,-0.2148,0.2734,0.0628,0.5399,0.5404,0.0719
STLAS_only_toledo,balanced,experiments/version_20-03-2022--18-59-40/checkpoints,0.1826,0.3037,0.328,0.182,0.2138,0.3483,0.4161,0.1568,0.2882,0.02,0.0519,0.0859
STLAS_LOO_webis,balanced,experiments/version_20-03-2022--18-38-41/checkpoints,0.3373,0.2298,0.2113,0.6265,0.5822,0.1254,0.1319,0.4079,0.4067,0.611,0.7764,0.0552
STLAS_only_toledo,balanced,experiments/version_20-03-2022--19-03-25/checkpoints,0.2012,0.3125,0.3302,0.2037,0.0986,0.5057,0.4953,0.2072,0.3479,-0.0566,-0.107,0.1014
STLAS_only_toledo,balanced,experiments/version_20-03-2022--19-08-19/checkpoints,0.1778,0.3346,0.3388,0.3424,0.317,0.3656,0.3334,0.4198,0.4465,0.069,0.0894,0.078
STLAS_only_toledo_topic,balanced,experiments/version_20-03-2022--19-09-37/checkpoints,0.2297,0.2932,0.3255,0.1125,0.1337,0.3614,0.3983,0.2296,0.4995,0.127,0.1635,0.0784
STLAS_only_toledo_topic,balanced,experiments/version_20-03-2022--19-12-58/checkpoints,0.1976,0.2839,0.3059,0.1926,0.0856,0.5045,0.5154,0.2068,0.3339,-0.0796,-0.1369,0.1082
STLAS_only_toledo_topic,balanced,experiments/version_20-03-2022--19-17-44/checkpoints,0.1689,0.262,0.2673,0.4103,0.3806,0.3536,0.3041,0.3816,0.3927,0.0698,0.0765,0.083
STLAS_LOO_webis,balanced,experiments/version_20-03-2022--19-03-41/checkpoints,0.2901,0.1758,0.1387,0.5775,0.5079,0.1688,0.1409,0.5038,0.4265,0.6868,0.6872,0.0581
STLAS_only_webis,balanced,experiments/version_20-03-2022--19-19-14/checkpoints,0.0676,0.279,0.2734,0.0836,0.1061,0.301,0.2974,0.3516,0.4714,0.7266,0.8229,0.2606
STLAS_LOO_webis_topic,balanced,experiments/version_20-03-2022--19-26-14/checkpoints,0.4013,0.3822,0.3459,0.5667,0.5342,0.3951,0.4435,0.3987,0.2963,0.6687,0.7251,0.0627
STLAS_only_webis,balanced,experiments/version_20-03-2022--19-38-05/checkpoints,0.0947,0.1625,0.1487,0.3935,0.5346,0.3637,0.3494,0.4019,0.508,0.7229,0.798,0.2879
STLAS_only_webis,balanced,experiments/version_20-03-2022--19-52-33/checkpoints,0.0662,0.1685,0.1989,0.3817,0.3688,0.2295,0.1861,0.4129,0.5173,0.8055,0.8385,0.2548
STLAS_LOO_webis_topic,balanced,experiments/version_20-03-2022--19-45-43/checkpoints,0.5355,0.2556,0.2623,0.6405,0.5727,0.3858,0.3861,0.3797,0.2778,0.5513,0.6482,0.0431
STLAS_only_webis_topic,balanced,experiments/version_20-03-2022--20-09-50/checkpoints,0.246,0.2651,0.2658,0.0964,0.2118,0.2694,0.2471,0.3761,0.504,0.7467,0.8031,0.1674
STLAS_LOO_webis_topic,balanced,experiments/version_20-03-2022--20-10-42/checkpoints,0.4754,0.2799,0.2315,0.6994,0.5963,0.2183,0.1983,0.3701,0.3651,0.6362,0.6391,0.0478
STLAS_only_webis_topic,balanced,experiments/version_20-03-2022--20-24-06/checkpoints,0.223,0.2172,0.224,0.3295,0.4129,0.3907,0.3833,0.4111,0.5109,0.7341,0.8051,0.2266
MTLAS_LOO_webis,balanced,experiments/version_20-03-2022--20-28-49/checkpoints,0.5843,0.4079,0.3933,0.5119,0.4686,0.361,0.4257,0.5426,0.3471,0.0305,,
STLAS_only_webis_topic,balanced,experiments/version_20-03-2022--20-38-06/checkpoints,0.1775,0.2435,0.2706,0.4301,0.4492,0.2477,0.2085,0.4268,0.5099,0.8209,0.8517,0.1975
MTLAS_LOO_webis,balanced,experiments/version_20-03-2022--20-41-28/checkpoints,0.6057,0.3666,0.369,0.5686,0.5416,0.5242,0.5305,0.5611,0.405,0.0292,,
