ukp_pearson,ukp_spearman,toledo_pearson,toledo_spearman,webis_pearson,webis_spearman,swanson_pearson,swanson_spearman,gretz_pearson,gretz_spearman,task_name,sampling,aggregation_method
0.5404,0.5208,0.4658,0.4277,0.7131,0.7379,0.592,0.5966,0.48,0.43,MTLAS_LOO_ukp,in-topic,mean
0.3101,0.3848,0.451,0.4177,0.7518,0.7337,0.6243,0.6336,0.3371,0.3064,MTLAS_LOO_gretz_topic,cross-topic,mean
0.3706,0.4131,0.4053,0.4322,0.4761,0.4887,0.3451,0.3601,0.3373,0.3475,MTLAS_LOO_ukp,in-topic,var
0.514,0.5251,0.4415,0.4158,0.6769,0.7047,0.5671,0.5841,0.4625,0.4215,MTLAS_LOO_ukp,in-topic,wt-var
0.0356,0.3567,0.0863,-0.081,0.3772,0.3385,0.3441,0.4071,0.0608,0.0208,MTLAS_LOO_gretz_topic,cross-topic,var
0.395,0.6781,0.3627,0.3578,0.7936,0.7923,0.5961,0.6119,0.4536,0.3964,MTLAS_LOO_ukp,cross-topic,mean
0.3968,0.4062,0.3727,0.3179,0.7222,0.6734,0.5779,0.5797,0.2952,0.248,MTLAS_LOO_gretz_topic,cross-topic,wt-var
0.2957,0.5523,0.2916,0.2969,0.6219,0.5983,0.2798,0.3023,0.3521,0.3626,MTLAS_LOO_ukp,cross-topic,var
0.5808,0.5607,0.3844,0.3321,0.7244,0.7534,0.6153,0.6016,0.452,0.3933,MTLAS_LOO_toledo,in-topic,mean
0.3706,0.6581,0.3544,0.3459,0.7839,0.7635,0.5565,0.5707,0.4483,0.4002,MTLAS_LOO_ukp,cross-topic,wt-var
0.3403,0.5051,0.2402,0.1854,0.4798,0.5564,0.4164,0.5199,0.2573,0.2741,MTLAS_LOO_toledo,in-topic,var
0.5345,0.5733,0.4911,0.4562,0.7226,0.7467,0.5931,0.6121,0.4996,0.4543,MTLAS_LOO_ukp_topic,in-topic,mean
0.5715,0.5174,0.3567,0.3079,0.6771,0.6809,0.6116,0.5944,0.4282,0.3704,MTLAS_LOO_toledo,in-topic,wt-var
0.3776,0.4148,0.2945,0.2482,0.4887,0.3923,0.4107,0.4064,0.355,0.333,MTLAS_LOO_ukp_topic,in-topic,var
0.55,0.5881,0.4931,0.4605,0.7141,0.729,0.5635,0.5926,0.4903,0.4477,MTLAS_LOO_ukp_topic,in-topic,wt-var
0.3943,0.7102,0.3189,0.3048,0.8086,0.808,0.632,0.639,0.4372,0.3664,MTLAS_LOO_toledo,cross-topic,mean
0.3466,0.4845,0.3235,0.3059,0.7439,0.7668,0.5283,0.5536,0.4554,0.4047,MTLAS_LOO_ukp_topic,cross-topic,mean
0.2683,0.6258,0.1097,0.1126,0.6092,0.5994,0.4346,0.4887,0.2922,0.2112,MTLAS_LOO_toledo,cross-topic,var
0.2538,0.359,0.2093,0.2163,0.5367,0.5644,0.2122,0.1918,0.3523,0.3295,MTLAS_LOO_ukp_topic,cross-topic,var
0.3717,0.704,0.2776,0.2599,0.7648,0.7398,0.609,0.6131,0.4094,0.3404,MTLAS_LOO_toledo,cross-topic,wt-var
0.3305,0.493,0.3032,0.2924,0.7357,0.755,0.4918,0.5033,0.448,0.4033,MTLAS_LOO_ukp_topic,cross-topic,wt-var
0.5473,0.5593,0.4653,0.4402,0.4122,0.3781,0.6254,0.6049,0.4878,0.4369,MTLAS_LOO_webis,in-topic,mean
0.5602,0.6029,0.4212,0.3558,0.7461,0.7767,0.6063,0.6076,0.4711,0.4123,MTLAS_LOO_toledo_topic,in-topic,mean
0.3722,0.487,0.2512,0.1681,0.3995,0.5479,0.4344,0.4979,0.316,0.3035,MTLAS_LOO_webis,in-topic,var
0.5627,0.5939,0.4221,0.3752,0.4384,0.4132,0.6314,0.6119,0.4701,0.4067,MTLAS_LOO_webis,in-topic,wt-var
0.2967,0.4503,0.5076,0.4814,0.2074,0.1968,0.5941,0.6035,0.4492,0.3964,MTLAS_LOO_webis,cross-topic,mean
0.5025,0.5281,0.2611,0.2094,0.5166,0.6624,0.4085,0.4298,0.2969,0.2903,MTLAS_LOO_toledo_topic,in-topic,var
0.1977,0.4672,0.2327,0.1735,0.1792,0.2738,0.3604,0.4392,0.2164,0.2078,MTLAS_LOO_webis,cross-topic,var
0.3001,0.4468,0.4793,0.4504,0.2184,0.1995,0.5852,0.5879,0.4307,0.3703,MTLAS_LOO_webis,cross-topic,wt-var
0.5674,0.567,0.4077,0.3163,0.7135,0.7628,0.5545,0.5778,0.4409,0.377,MTLAS_LOO_toledo_topic,in-topic,wt-var
0.4915,0.6198,0.5127,0.4806,0.3795,0.3953,0.6349,0.6225,0.5029,0.452,MTLAS_LOO_webis_topic,in-topic,mean
0.4718,0.408,0.2964,0.2559,0.1571,0.4955,0.3704,0.4175,0.2691,0.3191,MTLAS_LOO_webis_topic,in-topic,var
0.4456,0.5847,0.4562,0.415,0.3545,0.3963,0.6196,0.6077,0.4774,0.4261,MTLAS_LOO_webis_topic,in-topic,wt-var
0.2162,0.3315,0.5119,0.4843,0.2279,0.2152,0.5985,0.6127,0.446,0.3977,MTLAS_LOO_webis_topic,cross-topic,mean
0.4409,0.7062,0.3404,0.3317,0.8067,0.8057,0.5985,0.6086,0.4332,0.3707,MTLAS_LOO_toledo_topic,cross-topic,mean
0.0959,0.3023,0.1957,0.2442,0.1256,0.2666,0.3637,0.4228,0.2156,0.2155,MTLAS_LOO_webis_topic,cross-topic,var
0.218,0.3211,0.4766,0.4419,0.2438,0.2129,0.5608,0.5678,0.4275,0.3729,MTLAS_LOO_webis_topic,cross-topic,wt-var
0.2569,0.5913,0.1144,0.1122,0.54,0.6198,0.3429,0.358,0.2951,0.2272,MTLAS_LOO_toledo_topic,cross-topic,var
0.4628,0.7243,0.3139,0.2932,0.7544,0.7443,0.5627,0.5669,0.4254,0.3586,MTLAS_LOO_toledo_topic,cross-topic,wt-var
