model_id,seed,avg_train_loss,avg_val_loss,avg_test_loss,gretz_pearson,toledo_pearson,ukp_pearson,swanson_pearson,avg_pearson
STLAS_only_gretz_randomized_topic,1088,0.0182191573656016,0.03076797529579477,0.04066730164648855,0.4747595895023577,0.29363461972684224,0.3120988521995124,0.4887478021505498,0.3923102158948155
MTLAS_randomized_source_all,8344,0.01643921535811978,0.029348833625441165,0.034365329110334,0.49630715181577795,0.3661180170221665,0.24242506755901494,0.37465710195443236,0.369876834587848
MTLAS_randomized_topic_all,4433,0.014483223988993127,0.033613684663727675,0.033231486764843346,0.523362227193146,0.3682053107813956,0.37099076717718965,0.42227672775388053,0.42120875822640297
STLAS_only_gretz_randomized_topic,7884,0.013358787810794505,0.03202523283349971,0.04333023261278868,0.47042778486217257,0.3830290703492369,0.22346515726870428,0.46173263681072746,0.3846636623227103
MTLAS_randomized_source_all,8240,0.014305379345317554,0.03391269474260269,0.03077539317039908,0.503178283662024,0.2592259408895912,0.31631412388692165,0.6731571782412857,0.4379688816699556
STLAS_only_gretz_randomized_topic,443,0.019043403507118493,0.03276382089066117,0.04016698702153834,0.4774836793069426,0.4094480179545516,0.19203864869502782,0.49196793516810916,0.3927345702811578
MTLAS_randomized_topic_all,5838,0.01498352198498155,0.03472005802905187,0.03512083830824797,0.4878732598965254,0.3300319871514162,0.36920199539727094,0.6286592001878185,0.4539416106582577
STLAS_only_gretz_randomized_topic,8881,0.0159365641111146,0.030102312159926994,0.047359447587620125,0.4938364440390535,0.36329585078068594,0.23377878321177667,0.3101400497589791,0.3502627819476238
MTLAS_randomized_source_all,4993,0.017800873957413633,0.033401948552517616,0.032947920564123816,0.4570789262793524,0.22617482924978335,0.3702338253402277,0.6499841397298726,0.425867930149809
STLAS_only_gretz_randomized_topic,449,0.01721003852135028,0.03183591936496978,0.048027578831440015,0.5022878455837461,0.40382556682381465,0.26629225824145214,0.22139645588872903,0.3484505316344355
MTLAS_randomized_topic_all,7193,0.01380918342940491,0.03661536575565415,0.03430924881249666,0.49536782071705676,0.3182164162990913,0.23856976207711525,0.4250485143822964,0.36930062836888994
MTLAS_randomized_source_all,6870,0.01916536635147209,0.034463304283934224,0.03157687122002244,0.5360860700454778,0.22409342831135887,0.39379602037530537,0.45146975509456977,0.401361318456678
STLAS_only_gretz_randomized_topic,4957,0.015505684509740344,0.029998429484017517,0.04238498268560285,0.4833989881086982,0.3815381508876927,0.27976020070514707,0.29823714631199816,0.36073362150338406
MTLAS_randomized_topic_all,2679,0.014759738975150323,0.0369009918326305,0.03229281991147078,0.4802561550890338,0.4197596279107267,0.13697982123493568,0.6423440230244513,0.41983490681478686
STLAS_only_gretz_randomized_topic,6846,0.018009769888724096,0.027674322037703612,0.04714143872261047,0.46781517713312487,0.42804176527010707,0.1466164559953622,0.31756869547464556,0.3400105234683099
