model_id,seed,avg_train_loss,avg_val_loss,avg_test_loss,gretz_pearson,toledo_pearson,ukp_pearson,swanson_pearson,avg_pearson
STLAS_only_gretz_randomized,5001,0.017910291500231053,0.029394023160895576,0,0.5001523955923309,0.41485368183624655,0.24436238764262555,0.43569522951948425,0.3987659236476718
STLAS_only_gretz_randomized,2915,0.01823177510123448,0.03153196468632272,0,0.49231685888769205,0.36665946993092974,0.30558742592278504,0.487366812161973,0.412982641725845
STLAS_only_gretz_randomized,2856,0.01746375327264624,0.029218442995656044,0,0.4727478276198839,0.4100667256688713,0.22295100524468672,0.34534548021290484,0.3627777596865867
STLAS_only_gretz_randomized,3027,0.019517414152516163,0.030993459684153398,0,0.49350705007452755,0.335599806383698,0.3301368600258688,0.2620055715516941,0.35531232200894713
STLAS_only_gretz_randomized,68,0.018718220296848033,0.031878769338289474,0,0.5059481280830186,0.4090623212896372,0.36927503480267965,0.3108942827406835,0.39879494172900476
STLAS_only_gretz_randomized,9735,0.018685928360302594,0.029655239247578256,0,0.4934607268116493,0.38662553069394723,0.33489392200717794,0.34764944014750726,0.3906574049150704
STLAS_only_gretz_randomized,8267,0.01862526415440608,0.030188696538197234,0,0.5180441215648862,0.4027624217578034,0.2943382566461491,0.26728032596314233,0.37060628148299524
STLAS_only_gretz_randomized,7828,0.01818313285076576,0.03047417526311697,0,0.4833838353649751,0.3387815521500693,0.2560536797521628,0.2489399863666413,0.3317897634084621
STLAS_only_gretz_randomized,5132,0.01944608707643807,0.030904861555124324,0,0.49971954673208585,0.3654857472877307,0.3687802779255326,0.3392305475141023,0.3933040298648628
STLAS_only_gretz_randomized,9667,0.01929597626605355,0.029931156896054745,0,0.49088011504413986,0.46935253421416295,0.4277336637160912,0.346798752636435,0.4336912664027072
